Round,ADP,Player,,,,,,,,N,,,Players + Rookies (372),Rank
16.12,192.4,,,,,,,,,196,,,Gus Edwards BAL RB,RB58
17.01,193.3,,,,,,,,,197,,,Robert Tonyan GB TE,TE25
17.02,194.2,,,,,,,,,198,,,Tim Patrick DEN WR,WR77
17.03,195.4,,,,,,,,,199,,,Marquez Valdes-Scantling KC WR,WR78
17.04,195.6,,,,,,,,,200,,,Sam Darnold CAR QB,QB39
17.04,195.6,,,,,,,,,201,,,Pierre Strong NE RB,RB59
17.04,196.0,,,,,,,,,202,,,Greg Dulcich DEN TE,TE26
17.04,196.5,,,,,,,,,203,,,Curtis Samuel WAS WR,WR79
17.05,196.7,,,,,,,,,204,,,Marlon Mack HOU RB,RB60
17.05,197.0,,,,,,,,,205,,,Jordan Love GB QB,QB40
17.06,198.4,,,,,,,,,206,,,Tyler Badie BAL RB,RB61
17.07,198.9,,,,,,,,,207,,,Trey Sermon SF RB,RB62
17.07,199.5,,,,,,,,,208,,,DeVante Parker NE WR,WR80
17.08,200.1,,,,,,,,,209,,,Romeo Doubs GB WR,WR81
17.08,200.1,,,,,,,,,210,,,Jarvis Landry  WR,WR82
17.10,202.1,,,,,,,,,211,,,Terrace Marshall CAR WR,WR83
18.04,207.7,,,,,,,,,212,,,Gerald Everett LAC TE,TE27
18.04,208.0,,,,,,,,,213,,,William Fuller  WR,WR84
18.04,208.2,,,,,,,,,214,,,Corey Davis NYJ WR,WR85
18.06,210.3,,,,,,,,,215,,,Velus Jones CHI WR,WR86
18.07,211.2,,,,,,,,,216,,,Logan Thomas WAS TE,TE28
18.08,212.5,,,,,,,,,217,,,Jamaal Williams DET RB,RB63
18.09,213.3,,,,,,,,,218,,,Adam Trautman NO TE,TE29
18.10,214.4,,,,,,,,,219,,,Justyn Ross  WR,WR87
18.11,215.3,,,,,,,,,220,,,Hayden Hurst CIN TE,TE30
18.12,215.8,,,,,,,,,221,,,J.D. McKissic WAS RB,RB64
18.12,216.1,,,,,,,,,222,,,Calvin Austin PIT WR,WR88
19.01,217.0,,,,,,,,,223,,,Raheem Mostert MIA RB,RB65
19.02,218.1,,,,,,,,,224,,,D'Onta Foreman CAR RB,RB66
19.02,218.5,,,,,,,,,225,,,Tyler Huntley BAL QB,QB41
19.06,222.4,,,,,,,,,226,,,Austin Hooper TEN TE,TE31
19.07,223.1,,,,,,,,,227,,,Sony Michel LAR RB,RB67
19.07,223.5,,,,,,,,,228,,,Jamison Crowder BUF WR,WR89
19.08,224.1,,,,,,,,,229,,,Ke'Shawn Vaughn TB RB,RB68
19.11,226.6,,,,,,,,,230,,,Jerome Ford CLE RB,RB69
19.12,227.7,,,,,,,,,231,,,Robby Anderson CAR WR,WR90
20.02,229.6,,,,,,,,,232,,,Kendrick Bourne NE WR,WR91
20.02,230.4,,,,,,,,,233,,,Kyle Trask TB QB,QB42
20.04,231.8,,,,,,,,,234,,,Isaih Pacheco KC RB,RB70
20.04,231.8,,,,,,,,,235,,,D'Ernest Johnson CLE RB,RB71
20.05,232.8,,,,,,,,,236,,,Marquez Callaway NO WR,WR92
20.05,233.3,,,,,,,,,237,,,KJ Hamler DEN WR,WR93
20.05,233.4,,,,,,,,,238,,,Chris Carson SEA RB,RB72
20.06,234.0,,,,,,,,,239,,,Tommy Tremble CAR TE,TE32
20.06,234.0,,,,,,,,,240,,,Ty Chandler MIN RB,RB73
20.07,235.3,,,,,,,,,241,,,Julio Jones  WR,WR94
20.08,236.2,,,,,,,,,242,,,Amari Rodgers GB WR,WR95
20.10,238.1,,,,,,,,,243,,,Cade Otton TB TE,TE33
20.10,238.3,,,,,,,,,244,,,Eno Benjamin ARI RB,RB74
20.11,238.5,,,,,,,,,245,,,Myles Gaskin MIA RB,RB75
20.11,239.3,,,,,,,,,246,,,Gardner Minshew PHI QB,QB43
20.11,239.3,,,,,,,,,247,,,Kyle Philips TEN WR,WR96
21.02,241.8,,,,,,,,,248,,,Cedrick Wilson MIA WR,WR97
21.04,244.1,,,,,,,,,249,,,Bryan Edwards LV WR,WR98
21.06,246.5,,,,,,,,,250,,,Kevin Harris NE RB,RB76
21.09,248.9,,,,,,,,,251,,,C.J. Uzomah NYJ TE,TE34
21.10,249.5,,,,,,,,,252,,,Parris Campbell IND WR,WR99
21.10,250.0,,,,,,,,,253,,,Jeremy Ruckert NYJ TE,TE35
21.12,252.3,,,,,,,,,254,,,Devin Duvernay BAL WR,WR100
22.04,256.2,,,,,,,,,255,,,Chris Evans CIN RB,RB77
22.05,257.4,,,,,,,,,256,,,Kenyan Drake LV RB,RB78
22.06,258.0,,,,,,,,,257,,,Bo Melton SEA WR,WR101
22.07,259.0,,,,,,,,,258,,,Jaret Patterson WAS RB,RB79
22.10,261.5,,,,,,,,,259,,,Teddy Bridgewater MIA QB,QB44
22.10,261.5,,,,,,,,,260,,,Darrel Williams KC RB,RB80
22.11,262.7,,,,,,,,,261,,,Zay Jones JAX WR,WR102
22.11,263.4,,,,,,,,,262,,,Marvin Jones JAX WR,WR103
23.01,265.0,,,,,,,,,263,,,Charlie Kolar BAL TE,TE36
23.01,265.2,,,,,,,,,264,,,Donald Parham LAC TE,TE37
23.01,265.4,,,,,,,,,265,,,Braxton Berrios NYJ WR,WR104
23.02,265.5,,,,,,,,,266,,,Taysom Hill NO QB,QB45
23.02,265.9,,,,,,,,,267,,,Jonnu Smith NE TE,TE38
23.03,266.7,,,,,,,,,268,,,Mo Alie-Cox IND TE,TE39
23.03,266.8,,,,,,,,,269,,,Harrison Bryant CLE TE,TE40
